#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 11:15:25 2022
#Time	Period	Transit time
#[s]	[s]	[s]
794.468142	2.115556	0.128276
795.526005	2.115521	0.128518
796.583663	2.115498	0.128790
797.641503	2.115787	0.129118
798.699450	2.115535	0.129452
799.757038	2.115335	0.129804
800.814785	2.115462	0.130122
801.872500	2.116028	0.130436
802.930813	2.115686	0.130758
803.988186	2.115036	0.131092
805.045849	2.115631	0.131474
806.103817	2.115590	0.131834
807.161439	2.115772	0.132134
808.219589	2.115354	0.132502
809.276793	2.115342	0.132866
810.334931	2.115654	0.133190
811.392447	2.115568	0.133494
812.450499	2.115628	0.133806
813.508075	2.115435	0.134178
814.565934	2.115494	0.134516
815.623569	2.115419	0.134802
816.681353	2.115460	0.135062
817.739029	2.115491	0.135370
818.796844	2.115430	0.135728
819.854459	2.115476	0.136074
820.912320	2.115498	0.136428
821.969957	2.115431	0.136838
823.027751	2.115392	0.137194
824.085349	2.115402	0.137510
825.143153	2.115468	0.137878
826.200817	2.115692	0.138198
827.258845	2.115611	0.138514
828.316428	2.115441	0.138908
829.374286	2.115457	0.139320
830.431885	2.115438	0.139650
831.489724	2.115449	0.139952
832.547334	2.115427	0.140284
833.605151	2.115389	0.140638
834.662723	2.115299	0.140958
835.720450	2.115246	0.141244
836.777969	2.115504	0.141614
837.835954	2.115578	0.141976
838.893547	2.115389	0.142298
839.951343	2.115390	0.142646
841.008937	2.115394	0.143010
842.066737	2.115399	0.143350
843.124336	2.115459	0.143692
844.182196	2.115447	0.144048
845.239783	2.115392	0.144374
846.297588	2.115365	0.144692
847.355148	2.115321	0.145028
848.412909	2.115381	0.145342
849.470529	2.115429	0.145678
850.528338	2.115387	0.146036
851.585916	2.115379	0.146384
852.643717	2.115371	0.146730
853.701287	2.115357	0.147090
854.759074	2.115339	0.147472
855.816626	2.115308	0.147784
856.874382	2.115309	0.148140
857.931935	2.115371	0.148494
858.989753	2.115345	0.148794
860.047280	2.115301	0.149116
861.105054	2.115295	0.149464
862.162575	2.115280	0.149810
863.220334	2.115272	0.150140
864.277847	2.115251	0.150438
865.335585	2.115271	0.150778
866.393118	2.115114	0.151152
867.450699	2.115236	0.151374
868.508354	2.115278	0.151652
869.565977	2.115190	0.152130
870.623544	2.115243	0.152520
871.681220	2.115176	0.152832
872.738720	2.115275	0.153212
873.796495	2.115280	0.153606
874.854000	2.115274	0.153964
875.911769	2.115202	0.154342
876.969202	2.115289	0.154724
878.027058	2.115337	0.155124
879.084539	2.115125	0.155506
880.142183	2.115139	0.155854
881.199678	2.115217	0.156180
882.257400	2.115278	0.156504
883.314956	2.115303	0.156884
884.372703	2.115284	0.157214
885.430240	2.115168	0.157580
886.487871	2.115262	0.158006
887.545502	2.115091	0.158440
888.602962	2.114994	0.158816
889.660496	2.115086	0.159180
890.718048	2.115001	0.159604
891.775497	2.115087	0.160014
892.833135	2.115029	0.160418
893.890526	2.115189	0.160836
894.948324	2.115204	0.161260
896.005730	2.115062	0.161708
897.063386	2.115032	0.162172
898.120762	2.115113	0.162536
899.178499	2.115100	0.162914
900.235862	2.115060	0.163336
901.293559	2.115046	0.163738
902.350908	2.115065	0.164164
903.408624	2.115156	0.164548
904.466064	2.115079	0.164996
905.523703	2.115048	0.165382
906.581112	2.115055	0.165676
907.638758	2.115052	0.166060
908.696164	2.115242	0.166416
909.754000	2.114987	0.166820
910.811151	2.114825	0.167218
911.868825	2.115249	0.167542
912.926400	2.115128	0.167952
913.983953	2.114786	0.168526
915.041186	2.114927	0.168952
916.098880	2.115010	0.169240
917.156196	2.115063	0.169708
918.213943	2.115061	0.170118
919.271257	2.115019	0.170482
920.328962	2.115204	0.170820
921.386461	2.115009	0.171162
922.443971	2.114848	0.171574
923.501309	2.115012	0.171930
924.558983	2.115019	0.172342
925.616328	2.114966	0.172724
926.673949	2.114959	0.173106
927.731287	2.114954	0.173494
928.788903	2.114877	0.173858
929.846164	2.114835	0.174272
930.903738	2.114885	0.174680
931.961049	2.114895	0.175058
933.018633	2.114948	0.175442
934.075997	2.115017	0.175834
935.133650	2.114959	0.176264
936.190956	2.114854	0.176696
937.248504	2.114835	0.177084
938.305791	2.114822	0.177462
939.363326	2.114874	0.177868
940.420665	2.114919	0.178266
941.478245	2.114912	0.178642
942.535577	2.114862	0.179018
943.593107	2.114841	0.179398
944.650418	2.114882	0.179836
945.707989	2.114890	0.180270
946.765308	2.114899	0.180688
947.822888	2.114766	0.181124
948.880074	2.114718	0.181580
949.937606	2.114880	0.181952
950.994954	2.114832	0.182352
952.052438	2.114690	0.182832
953.109644	2.114682	0.183260
954.167120	2.114966	0.183864
955.224610	2.114697	0.184328
956.281817	2.114338	0.184498
957.338948	2.114807	0.184804
958.396624	2.115070	0.185268
959.454018	2.114864	0.185660
960.511488	2.114700	0.186076
961.568718	2.114726	0.186592
962.626214	2.114750	0.186904
963.683468	2.114766	0.187280
964.740980	2.114736	0.187856
965.798204	2.114820	0.188212
