#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 09:08:41 2022
#Time	Period	Transit time
#[s]	[s]	[s]
891.674492	2.126443	0.096300
892.737706	2.126488	0.096512
893.800980	2.126486	0.096736
894.864192	2.126419	0.096948
895.927399	2.126406	0.097142
896.990598	2.126442	0.097368
898.053841	2.126431	0.097578
899.117029	2.126414	0.097798
900.180255	2.126321	0.098006
901.243350	2.126276	0.098072
902.306531	2.126496	0.098298
903.369846	2.126487	0.098640
904.433018	2.126374	0.098864
905.496220	2.126364	0.099076
906.559382	2.126354	0.099304
907.622574	2.126370	0.099528
908.685752	2.126360	0.099740
909.748934	2.126396	0.099992
910.812148	2.126409	0.100216
911.875343	2.126401	0.100418
912.938549	2.126390	0.100658
914.001733	2.126341	0.100878
915.064890	2.126351	0.101112
916.128084	2.126438	0.101288
917.191328	2.126394	0.101520
918.254478	2.126311	0.101820
919.317639	2.126320	0.102018
920.380798	2.126327	0.102224
921.443966	2.126346	0.102456
922.507144	2.126362	0.102684
923.570328	2.126383	0.102912
924.633527	2.126411	0.103154
925.696739	2.126406	0.103386
926.759933	2.126369	0.103618
927.823108	2.126357	0.103844
928.886290	2.126349	0.104056
929.949457	2.126329	0.104270
931.012619	2.126316	0.104502
932.075773	2.126273	0.104754
933.138892	2.126254	0.104988
934.202027	2.126253	0.105206
935.265145	2.126258	0.105422
936.328285	2.126266	0.105650
937.391411	2.126266	0.105886
938.454551	2.126295	0.106114
939.517706	2.126315	0.106356
940.580866	2.126313	0.106612
941.644019	2.126305	0.106862
942.707171	2.126267	0.107106
943.770286	2.126219	0.107352
944.833390	2.126272	0.107576
945.896558	2.126287	0.107816
946.959677	2.126225	0.108066
948.022783	2.126195	0.108306
949.085872	2.126211	0.108560
950.148994	2.126212	0.108824
951.212084	2.126206	0.109100
952.275200	2.126284	0.109384
953.338368	2.126309	0.109644
954.401509	2.126355	0.109894
955.464723	2.126409	0.110158
956.527918	2.126361	0.110408
957.591084	2.126313	0.110652
958.654231	2.126307	0.110906
959.717391	2.126318	0.111130
960.780549	2.126272	0.111382
961.843663	2.126196	0.111646
962.906745	2.126191	0.111894
963.969854	2.126202	0.112168
965.032947	2.126200	0.112442
966.096054	2.126174	0.112712
967.159121	2.126126	0.112970
968.222180	2.126112	0.113244
969.285233	2.126127	0.113510
970.348307	2.126140	0.113746
971.411373	2.126149	0.114010
